# wavelength [micron], EQE [1]
7.849699398797596039e-01,-3.684055621387290347e-20
7.893787575150301716e-01,-3.540187011484094266e-16
7.937875751503007393e-01,-1.512973286603996016e-16
7.981963927855711960e-01,3.551268378799722016e-16
8.026052104208416527e-01,4.904403835734220828e-17
8.070140280561122204e-01,2.542280112206646340e-16
8.114228456913827880e-01,1.475625966129203421e-16
8.158316633266533557e-01,-1.055092188325588103e-16
8.202404809619239234e-01,-2.910183301394782980e-16
8.246492985971944911e-01,-5.037833895815280792e-16
8.290581162324650588e-01,-3.075251776034238261e-16
8.334669338677356265e-01,1.006714625115474321e-16
8.378757515030059722e-01,-4.023728293770642044e-16
8.422845691382765398e-01,-2.056569565470890389e-16
8.466933867735471075e-01,1.505779716957970011e-16
8.511022044088176752e-01,1.860451388526089607e-16
8.555110220440882429e-01,-8.906164836108247280e-16
8.599198396793588106e-01,3.011389898885694359e-16
8.643286573146293783e-01,3.411055846213152517e-16
8.687374749498999460e-01,1.093465459289741369e-16
8.731462925851705137e-01,2.919536695982039614e-17
8.775551102204408593e-01,1.040511625534446581e-16
8.819639278557114270e-01,2.947341196001101433e-16
8.863727454909819947e-01,5.010234859449937400e-17
8.907815631262525624e-01,-1.673026068742529496e-16
8.951903807615231301e-01,-1.172793897827808053e-16
8.995991983967936978e-01,3.273777089092298113e-17
9.040080160320642655e-01,-1.113339096902851846e-16
9.084168336673348332e-01,-1.013657638840302110e-16
9.128256513026051788e-01,-1.786929968963758166e-16
9.172344689378757465e-01,1.048682850675183379e-17
9.216432865731463142e-01,-4.278292582603342431e-16
9.260521042084168819e-01,3.944646239068447370e-16
9.304609218436874496e-01,-2.722694966884531082e-16
9.348697394789580173e-01,3.433051231413724795e-17
9.392785571142285850e-01,-2.231086677398676870e-16
9.436873747494991527e-01,-1.996723528919176287e-16
9.480961923847697204e-01,2.992199572919733034e-16
9.525050100200400660e-01,-1.870122606692207251e-16
9.569138276553106337e-01,3.721117233286101704e-17
9.613226452905812014e-01,-9.645236630146152589e-17
9.657314629258517691e-01,1.993725401801609012e-16
9.701402805611223368e-01,-0.000000000000000000e+00
9.745490981963929045e-01,-2.853890767039035219e-16
9.789579158316634722e-01,1.262863792471191522e-16
9.833667334669340399e-01,-2.123871305092933927e-16
9.877755511022043855e-01,1.043802389643476221e-16
9.921843687374749532e-01,2.263711729745058044e-16
9.965931863727455209e-01,1.389320930237023051e-17
1.001002004008016089e+00,-3.975407072417253795e-16
