# wavelength [micron], T [1], R_f [1], R_b [1]
1.080360721442885863e+00,1.803024020570163644e-01,2.176544403755847901e-01,6.108935726151298873e-01
1.084769539078156431e+00,1.776346381726291723e-01,2.164573316491116561e-01,6.147887611138251884e-01
1.089178356713426998e+00,1.747775125107495497e-01,2.148554797337430544e-01,6.186329229371623217e-01
1.093587174348697566e+00,1.719185105063424646e-01,2.131771220255442301e-01,6.224203370403788016e-01
1.097995991983968134e+00,1.691013780913739606e-01,2.114731169051758397e-01,6.261667169093166896e-01
1.102404809619238479e+00,1.662945370107123122e-01,2.097105778754823624e-01,6.298681514624884237e-01
1.106813627254509047e+00,1.634858322346565418e-01,2.078496399064932165e-01,6.335214756782340251e-01
1.111222444889779615e+00,1.606880780368081518e-01,2.058478599552091837e-01,6.371379512740038553e-01
1.115631262525050182e+00,1.578520177880416986e-01,2.036647075502783510e-01,6.407037261455944543e-01
1.120040080160320750e+00,1.550707654992136697e-01,2.014823311829612440e-01,6.442215233073163017e-01
1.124448897795591318e+00,1.519981471513391358e-01,1.986470645587842532e-01,6.476820527190568777e-01
1.128857715430861886e+00,1.486868454858736865e-01,1.952273600240798934e-01,6.510808803292525981e-01
1.133266533066132453e+00,1.449857872105345946e-01,1.909440943984145045e-01,6.543899803966434225e-01
1.137675350701402799e+00,1.412429018801958924e-01,1.864734201936735780e-01,6.576445599179676638e-01
1.142084168336673367e+00,1.372132005467658622e-01,1.813617145291667176e-01,6.608336325931875033e-01
1.146492985971943934e+00,1.328839850051568849e-01,1.756063026756836676e-01,6.639560477893058366e-01
1.150901803607214502e+00,1.285385152676772891e-01,1.697720265801002104e-01,6.670394311549474597e-01
1.155310621242485070e+00,1.237466838012995368e-01,1.630660253218980948e-01,6.700572538034734738e-01
1.159719438877755637e+00,1.190859655585349841e-01,1.565823218709104236e-01,6.730289476446981167e-01
1.164128256513026205e+00,1.137141496136351432e-01,1.487394837379260593e-01,6.759496757919348786e-01
1.168537074148296773e+00,1.083747496461342080e-01,1.409904156736038194e-01,6.788310583549437283e-01
1.172945891783567340e+00,1.030176441367978146e-01,1.332856965792517667e-01,6.816299489831579850e-01
1.177354709418837686e+00,9.784707492174142540e-02,1.260136134814888176e-01,6.843725611434697820e-01
1.181763527054108254e+00,9.249213946996144575e-02,1.185939863715044923e-01,6.870569196126000699e-01
1.186172344689378821e+00,8.675130567409408688e-02,1.107804076154024486e-01,6.896786730200051840e-01
1.190581162324649389e+00,8.111337184402617195e-02,1.034076326855253025e-01,6.922674540264182053e-01
1.194989979959919957e+00,7.465668225941214653e-02,9.518557766402237219e-02,6.947931014765177382e-01
1.199398797595190524e+00,6.872244938604596398e-02,8.819091869745795953e-02,6.972991004238117130e-01
1.203807615230461092e+00,6.395526284586547372e-02,8.317944889473495584e-02,6.998135223219035250e-01
1.208216432865731660e+00,5.963234126992573297e-02,7.909664226965912315e-02,7.023072628501174641e-01
1.212625250501002006e+00,5.802091324440957626e-02,7.859884348194216830e-02,7.048684636512233537e-01
1.217034068136272573e+00,5.793013672285785010e-02,8.019285793408645335e-02,7.074547509181252636e-01
1.221442885771543141e+00,5.814317990252838159e-02,8.248368208002949953e-02,7.100172720850385089e-01
1.225851703406813709e+00,5.939452980077207511e-02,8.649343560555684818e-02,7.126072180060804007e-01
1.230260521042084276e+00,6.058407934744896445e-02,9.087162426324246756e-02,7.151741349212121790e-01
1.234669338677354844e+00,6.079366008318448644e-02,9.432564522290327880e-02,7.176684459839836050e-01
1.239078156312625412e+00,6.098330591843982573e-02,9.814852465208387389e-02,7.201375057495823517e-01
1.243486973947895979e+00,5.999760289741960101e-02,1.006955422328227601e-01,7.225384852804475067e-01
1.247895791583166547e+00,5.866666158149997506e-02,1.031143914506883336e-01,7.248994722978816529e-01
1.252304609218436893e+00,5.698490542964126243e-02,1.053924835781426955e-01,7.272106491950881546e-01
1.256713426853707460e+00,5.503235019119442906e-02,1.076672342037822416e-01,7.294746880990913285e-01
1.261122244488978028e+00,5.304440116569116709e-02,1.102970673658937167e-01,7.317082806673399498e-01
1.265531062124248596e+00,5.089204410539995699e-02,1.130965218310208964e-01,7.339023519873919543e-01
1.269939879759519163e+00,4.883854690147471783e-02,1.163707507045071421e-01,7.360646050293978560e-01
1.274348697394789731e+00,4.637953082730612853e-02,1.197989551112956519e-01,7.382183361579812697e-01
1.278757515030060299e+00,4.389857862545411965e-02,1.237524552907086350e-01,7.403614879329427634e-01
1.283166332665330867e+00,4.147461559495979611e-02,1.281187420003280231e-01,7.424821734701398945e-01
1.287575150300601434e+00,3.915834521705094384e-02,1.329044928216539245e-01,7.445814424183235802e-01
1.291983967935871780e+00,3.695985359468458020e-02,1.381423321664568549e-01,7.466588917975218731e-01
1.296392785571142348e+00,3.493238821571408026e-02,1.438021733137094249e-01,7.486951278202977900e-01
1.300801603206412915e+00,3.317370173877622758e-02,1.497469386177450179e-01,7.506962621977488759e-01
1.305210420841683483e+00,3.168140877751911971e-02,1.558869725078075308e-01,7.526599758222151104e-01
1.309619238476954051e+00,3.026398858651364529e-02,1.622436540473247424e-01,7.546048443843911269e-01
1.314028056112224618e+00,2.890973186595447580e-02,1.688137902312557004e-01,7.565293054565503938e-01
1.318436873747495186e+00,2.762216239347910565e-02,1.754973426490185895e-01,7.584351795344722591e-01
1.322845691382765754e+00,2.637278196884189005e-02,1.822466793604431423e-01,7.603058164551744769e-01
1.327254509018036321e+00,2.517741801722303552e-02,1.891224356693423925e-01,7.621539092280040784e-01
1.331663326653306889e+00,2.402080005533983875e-02,1.961161616351742298e-01,7.639792457876115606e-01
1.336072144288577235e+00,2.288805267192810591e-02,2.032003517255785152e-01,7.657781184827771037e-01
1.340480961923847802e+00,2.182471831672300189e-02,2.104678325822053053e-01,7.675570744442973270e-01
1.344889779559118370e+00,2.077624630533301056e-02,2.177494794014933621e-01,7.693061695089232765e-01
1.349298597194388938e+00,1.984807701034990712e-02,2.249346804330519534e-01,7.710196979737026224e-01
1.353707414829659506e+00,1.888366958694431830e-02,2.319269514557943390e-01,7.726825950073799021e-01
1.358116232464930073e+00,1.796024429619104412e-02,2.388214110527584477e-01,7.743235793889859941e-01
1.362525050100200641e+00,1.697991988437354965e-02,2.456254464664256176e-01,7.759177035237563302e-01
1.366933867735471209e+00,1.598859911219735475e-02,2.524412006214155624e-01,7.774737458190633665e-01
1.371342685370741776e+00,1.500396656552255813e-02,2.592033886764149586e-01,7.789963118363395500e-01
1.375751503006012122e+00,1.395145784537034535e-02,2.656896973299450182e-01,7.804659628977100860e-01
1.380160320641282690e+00,1.298531973326044579e-02,2.721175082208086016e-01,7.819245973874258127e-01
1.384569138276553257e+00,1.210045794615506251e-02,2.782807757602049348e-01,7.833720727306880960e-01
1.388977955911823825e+00,1.128773425678328626e-02,2.843970364681011054e-01,7.848076586995121895e-01
1.393386773547094393e+00,1.071510772716707457e-02,2.905496909906227776e-01,7.862847709540318197e-01
1.397795591182364960e+00,1.022825467850101491e-02,2.967162020361766017e-01,7.877614496522575838e-01
1.402204408817635528e+00,9.814994807845509733e-03,3.030010481699140223e-01,7.892364305597379115e-01
1.406613226452906096e+00,9.468236561388211625e-03,3.093019366634064959e-01,7.907099921898871342e-01
1.411022044088176441e+00,9.146513145659984287e-03,3.153694798667379118e-01,7.921684742154809777e-01
1.415430861723447009e+00,8.867734035168538601e-03,3.211994982532483944e-01,7.936147955492454109e-01
1.419839679358717577e+00,8.622147372543846611e-03,3.268114346331654207e-01,7.950407623488879860e-01
1.424248496993988145e+00,8.473349925384506681e-03,3.323204869462653699e-01,7.964856297446731848e-01
1.428657314629258712e+00,8.334911242906606690e-03,3.375896939212105208e-01,7.979177594060556933e-01
1.433066132264529280e+00,8.257491426066349352e-03,3.427782003022731283e-01,7.993596911757574475e-01
1.437474949899799848e+00,8.210223544858685080e-03,3.479060777960125139e-01,8.008005534189130969e-01
1.441883767535070415e+00,8.175886406867219000e-03,3.528984043731439035e-01,8.022338033240329347e-01
1.446292585170340983e+00,8.156517411438898857e-03,3.576987329381104419e-01,8.036503724578752950e-01
1.450701402805611329e+00,8.143537118813073267e-03,3.623229861397214147e-01,8.050574661533578258e-01
1.455110220440881896e+00,8.132978984269956246e-03,3.667696596481323512e-01,8.064530524187765170e-01
